,total,benign,malware,b-m
puspuscalret,21730,1.3248,1.1338,0.191
pusmovcalmovjmp,18765,1.1582,0.9673,0.1909
ldaldaldccalret,1788,0.2045,0.0137,0.1908
movaddtesjge,2206,0.2278,0.0374,0.1904
movmovmovcalxorpoppoppopmovjmp,3635,0.308,0.1177,0.1903
caltesjs_,7194,0.5079,0.3176,0.1903
leadeccmpjg_,4044,0.3308,0.1408,0.19
movmovbt_jb_,1966,0.214,0.0241,0.1899
movpusmovcalmovtesjz_,3773,0.3152,0.1258,0.1894
movmovandjnz,6127,0.447,0.2585,0.1885
incxormovmovcalmovcaltesjz_,6697,0.479,0.2905,0.1885
movmovcmpjnbmovmovjmp,2002,0.2152,0.0269,0.1883
calpopmovpopret,3176,0.2811,0.0928,0.1883
movpuscaladdmovmovmovcmpjb_,2055,0.2181,0.0299,0.1882
ldacalldaldacalret,1894,0.2088,0.021,0.1878
leacaltesjz_,73528,4.2325,4.0448,0.1877
pusmovmovpusmovpuscaladdpopret,2080,0.2191,0.0316,0.1875
movandmovmovtesjz_,3400,0.2933,0.1058,0.1875
pusmovsubmovcmpjz_,3241,0.2841,0.097,0.1871
movmovmovmovtesjnz,26098,1.5678,1.381,0.1868
leamovmovcalmovmovmovcaljmp,3978,0.3253,0.1386,0.1867
movmovpuspuspuscaladdjmp,2461,0.24,0.0534,0.1866
puspuscalmovmovleapuspuscalfnc...,2434,0.2385,0.0519,0.1866
pusleapuscaladdjmp,2129,0.2213,0.0348,0.1865
xorpoppoppopmovpusleacalleacal...,8033,0.5528,0.3666,0.1862
puspuscaladdpopret,8645,0.587,0.4011,0.1859
ldaldfldcbeq,1784,0.2013,0.016,0.1853
movmovmovcalmovmovcaljmp,3503,0.2978,0.1126,0.1852
leamovmovleajmp,2177,0.2228,0.0385,0.1843
movmovmovcaladdpoppoppopret,3439,0.2936,0.1095,0.1841
andmovcmpjb_,2215,0.2247,0.0409,0.1838
leacmpjge,11981,0.7731,0.5895,0.1836
movmovmovleacaljmp,3359,0.2888,0.1052,0.1836
puspusmovmovmovmovcalmovmovcal...,4778,0.3683,0.1852,0.1831
movlealeacaltesjnz,2240,0.2257,0.0426,0.1831
puspuspuspuspuspuspuspuscaladd...,2776,0.2558,0.0727,0.1831
movsubsarcmpja_,3148,0.2767,0.0936,0.1831
movleamovmovcmpjz_,4067,0.3281,0.1454,0.1827
calmovmovmovcaljmp,3802,0.3131,0.1306,0.1825
movucojp_jnz,2915,0.2629,0.0811,0.1818
movmovmovmovlearet,1965,0.2095,0.0278,0.1817
pusmovpuscalmovtesjz_,5807,0.4252,0.2436,0.1816
nopmovmovtesjz_,2826,0.2578,0.0762,0.1816
movmovmovaddjmp,16020,0.9986,0.8175,0.1811
movcalmovmovmovmovmovtesjz_,3465,0.2934,0.1123,0.1811
andmovaddjmp,6204,0.4472,0.2662,0.181
movmovmovmovmovaddpoppoppopret,7533,0.5216,0.3411,0.1805
xormovmovmovaddpoppoppopret,3162,0.276,0.0957,0.1803
leamovleacaltesjs_,1798,0.1992,0.0192,0.18
leamovcalmovmovcalxorpoppoppop...,1884,0.2039,0.0241,0.1798
addmovcmpjnz,19751,1.2075,1.0277,0.1798
decmovjmp,15287,0.9567,0.777,0.1797
incmovmovcmpja_,2365,0.2307,0.0513,0.1794
xoraddpoppoppoppopret,3101,0.272,0.0927,0.1793
movmovpuscalret,5431,0.4027,0.2237,0.179
pussubmovmovcmpjnz,2058,0.2132,0.0343,0.1789
puspuspusmovaddpuscalret,2019,0.2109,0.0321,0.1788
puspuscaladdret,11663,0.7526,0.5739,0.1787
movmovleacmpja_,6306,0.4516,0.2731,0.1785
calmovpopret,20058,1.224,1.0455,0.1785
movpoppoppopret,96083,5.4943,5.3159,0.1784
movcalnopmovmovtesjz_,2738,0.2507,0.073,0.1777
addcmpjbe,10235,0.6717,0.4943,0.1774
calmovcalmovtesjz_,6099,0.4391,0.2622,0.1769
fldfcofnssahjb_,3255,0.2793,0.1025,0.1768
xormovmovmovret,1872,0.2014,0.0249,0.1765
or_movandcmpjnz,3986,0.3202,0.1437,0.1765
addmovpopret,4951,0.3743,0.1979,0.1764
submovcmpjge,5209,0.3887,0.2125,0.1762
movmovaddmovcmpjnz,2843,0.2558,0.0796,0.1762
movmovmovmovmovmovmovcaljmp,5146,0.3849,0.2091,0.1758
leamovleacaltesjnz,2388,0.2299,0.0544,0.1755
inccmpjbe,7242,0.5025,0.3271,0.1754
movaddpoppoppoppoppoppoppopret,5372,0.3974,0.222,0.1754
movleamovtesjz_,13257,0.8401,0.6651,0.175
poppopmovpopaddret,4489,0.3475,0.1727,0.1748
pusmovpuspusmovcalmovtesjz_,1808,0.1969,0.0221,0.1748
movmovmovmovaddpopjmp,4074,0.3241,0.1494,0.1747
comjb_,3366,0.2842,0.1098,0.1744
pusmovaddpuspuspusmovmovmovtes...,2987,0.2629,0.0886,0.1743
movleamovmovcmpjnz,6044,0.4345,0.2603,0.1742
leacmpjnbmovsubjmp,2323,0.2252,0.0516,0.1736
puspuspuspuscaladdmovjmp,3546,0.2937,0.1204,0.1733
pusmovpuscalpoppopret,5225,0.388,0.2147,0.1733
addpuspuscaladdtesjz_,2130,0.2139,0.0411,0.1728
leapusleapuscaltesjz_,4068,0.3227,0.15,0.1727
pusmovpusmovcmpjl_,3259,0.2772,0.1046,0.1726
poppoppopret,158776,9.0126,8.8401,0.1725
movmovmovmovandtesjz_,1836,0.1972,0.0247,0.1725
addmovpoppopret,2371,0.2273,0.0548,0.1725
puspusmovmovcalmovtesjl_,2999,0.262,0.0905,0.1715
movor_xadjnz,2304,0.2228,0.0516,0.1712
movmovmovmovcalmovcaljmp,1909,0.2006,0.0295,0.1711
movmovleamovcalmovtesjz_,3967,0.3161,0.1451,0.171
movpusmovcalmovjmp,7126,0.4935,0.3226,0.1709
andtesjz_,22681,1.367,1.1965,0.1705
puspusmovmovmovmovcaltesjz_,28759,1.7084,1.5379,0.1705
movcalmovcmpja_,2347,0.2248,0.0544,0.1704
fdijmp,8160,0.5512,0.381,0.1702
movmovmovmovmovmovmovmovret,3560,0.2928,0.1226,0.1702
noptesjz_,4489,0.345,0.1748,0.1702
pusmovsubjb_,4549,0.3481,0.1784,0.1697
movsubcmpjl_,12186,0.7771,0.6074,0.1697
movmovcalmovmovmovcaljmp,12314,0.7841,0.6147,0.1694
pusmovpusmovmovmovmovmovpopret,2225,0.2174,0.048,0.1694
ldastsret,1867,0.1972,0.0279,0.1693
puscalpoppuscalpopret,2197,0.2156,0.0465,0.1691
incjnz,7126,0.4925,0.3234,0.1691
movmovaddcmpjz_,5751,0.4152,0.2462,0.169
movshrcmpjnz,3480,0.2876,0.1187,0.1689
movmovcalmovmovmovmovcaljmp,2394,0.2265,0.0578,0.1687
movmovcalmovaddpoppoppopret,2233,0.2173,0.0489,0.1684
movcalmovcmpjg_,2680,0.2422,0.0741,0.1681
pusmovpusmovmovmovtesjz_,4387,0.3377,0.1703,0.1674
movmovcalmovandtesjz_,1784,0.1914,0.0242,0.1672
movanddecjz_,1994,0.2032,0.036,0.1672
movpuscaladdcmpmovmovmovjb_,1998,0.2034,0.0362,0.1672
movaddaddmovjmp,3185,0.27,0.103,0.167
movpuscaladdmovpuscaladdmovcmp...,1915,0.1985,0.0318,0.1667
subaddaddtesjz_,2551,0.2341,0.0677,0.1664
movmovmovcalmovmovcaltesjnz,2391,0.2249,0.0588,0.1661
movleamovmovmovmovcaljmp,3703,0.2986,0.1325,0.1661
puspusmovcmpjz_,25788,1.5388,1.3733,0.1655
movmovpuscaljmp,11849,0.7557,0.5905,0.1652
cmpmovja_,3099,0.2642,0.099,0.1652
pusmovcalmovtesjz_,18216,1.1133,0.9481,0.1652
xormovcaltesjnz,5219,0.383,0.2183,0.1647
movmovmovleatesjz_,2794,0.2467,0.0822,0.1645
xorcmpjbe,24218,1.4501,1.2856,0.1645
movpusmovcaljmp,18888,1.1506,0.9862,0.1644
movpusmovpusmovcaltesjz_,13949,0.8732,0.7088,0.1644
movsubsarret,2639,0.2379,0.0735,0.1644
addmovmovcmpmovjz_,1994,0.2016,0.0374,0.1642
movtesmovmovjz_,4035,0.3161,0.1521,0.164
movmovmovtesmovjz_,4229,0.3269,0.1631,0.1638
movmovpuscalpopmovtesjz_,2059,0.205,0.0412,0.1638
movmovcalxorpoppoppopmovpusmov...,5354,0.39,0.2263,0.1637
movxoraddpopret,2343,0.2207,0.0574,0.1633
pusmovpuspuspuspusmovmovmovtes...,3307,0.2747,0.1116,0.1631
movmovaddcmpjle,2501,0.2292,0.0665,0.1627
leamovaddpopret,2786,0.2452,0.0826,0.1626
movmovmovmovcalpoppoppopret,6035,0.4276,0.2652,0.1624
movxormovcalmovjmp,3023,0.2584,0.096,0.1624
xormovpoppopret,12478,0.7893,0.6272,0.1621
sbbor_tesjnz,10732,0.6912,0.5292,0.162
movcmpjnbmovcmpjz_,4362,0.3333,0.1715,0.1618
movcalmovmovcalmovcmpjz_,2834,0.2474,0.0857,0.1617
movcalmovcaljmp,17344,1.0624,0.9007,0.1617
xormovmovmovjmp,12007,0.7626,0.601,0.1616
movmovcaltesmovjnz,2113,0.2066,0.0454,0.1612
ldlldcaddstlldlldlldlconblt,2144,0.2084,0.0472,0.1612
movpuspuscaladdcmpjz_,3286,0.2724,0.1114,0.161
movmovmovmovmovcalcmpjnz,3210,0.268,0.1072,0.1608
movmovmovmovaddjmp,3608,0.2903,0.1296,0.1607
movpusmovcalmovmovjmp,1907,0.1948,0.0341,0.1607
pusmovaddpuspuspusmovmovtesjz_,4672,0.35,0.1895,0.1605
movmovpuspuspuscaladdtesjz_,2012,0.2003,0.0403,0.16
pusmovmovcaltesjnz,7297,0.497,0.3372,0.1598
movleamovmovmovmovtesjz_,1824,0.1894,0.03,0.1594
ldccalret,2403,0.2219,0.0625,0.1594
movcalxorcmpjnz,1784,0.1871,0.0278,0.1593
pusmovcalpopret,22439,1.3473,1.188,0.1593
movmovor_jmp,4567,0.3432,0.1843,0.1589
leacaladdret,1951,0.196,0.0376,0.1584
movmovmovmovmovmovmovmovcaljmp,2947,0.2519,0.0936,0.1583
nopmovcmpjnz,5349,0.3867,0.2286,0.1581
movmovcalmovmovcalpoppopret,3493,0.2824,0.1244,0.158
noptesjnz,1822,0.1885,0.0306,0.1579
movmovmovmovmovaddret,2676,0.2364,0.0786,0.1578
calmovmovmovmovaddpopret,4255,0.3249,0.1674,0.1575
pusmovsubmovcmpjnz,3613,0.2887,0.1315,0.1572
movxormovret,3266,0.2692,0.112,0.1572
puspuspuscaladdmovtesjnz,4209,0.3222,0.165,0.1572
pussubmovcalleamovmovaddpopret,2564,0.2296,0.0727,0.1569
movcmpmovjb_,8491,0.5624,0.4057,0.1567
movcalmovmovmovmovaddpoppoppop...,1879,0.1909,0.0344,0.1565
movleamovcmpmovjnz,1923,0.1933,0.037,0.1563
calcmpjge,4357,0.33,0.1737,0.1563
movmovaddpoppoppoppoppoppoppop...,4222,0.322,0.1664,0.1556
movmovmovpoppoppoppopmovpopret,8162,0.5431,0.3879,0.1552
xorleamovtesjz_,2265,0.2118,0.0567,0.1551
movleaaddjmp,2351,0.2165,0.0617,0.1548
movleamovaddjmp,4692,0.3478,0.1934,0.1544
calmovmovcaltesjz_,7536,0.5075,0.3531,0.1544
movlealeacaltesjz_,6263,0.436,0.2816,0.1544
movmovandjz_,14382,0.892,0.7377,0.1543
movpusxorcmpjnz,3410,0.2757,0.1214,0.1543
movmovpuscalmovmovmovpoppoppop...,2102,0.2016,0.0485,0.1531
movpuscaladdmovtesjz_,3496,0.2799,0.1268,0.1531
movcalmovdectesjl_,18117,1.101,0.9482,0.1528
incmovmovcmpjz_,5780,0.4079,0.2553,0.1526
pusmovsubmovmovcmpjnz,4215,0.3198,0.1675,0.1523
movmovaddmovmovcmpjnz,1906,0.1901,0.0379,0.1522
movxormovcmpjz_,10837,0.6917,0.5396,0.1521
pusmovmovcalcmpjz_,8494,0.5601,0.408,0.1521
fldjmp,24409,1.454,1.3019,0.1521
xormovmovret,4199,0.3187,0.1668,0.1519
movcalmovcalcmpjnz,5567,0.3953,0.2438,0.1515
movleatesmovjle,2514,0.2238,0.0724,0.1514
movxorcalmovtesjz_,2094,0.2002,0.0488,0.1514
pusmovaddmovmovmovcmpjnz,4756,0.3496,0.1984,0.1512
submovmovjmp,6426,0.4433,0.2923,0.151
pusmovmovcaljmp,3141,0.2588,0.1078,0.151
inccmpjnbjmp,1865,0.1869,0.0364,0.1505
movleamovmovcalmovtesjnz,3672,0.2883,0.1379,0.1504
puspuscalmovleapuspusmovcalcmp...,2274,0.2096,0.0595,0.1501
lealeacalcmpjz_,2824,0.2404,0.0905,0.1499
movcalmovxortesjz_,2701,0.2333,0.0837,0.1496
leacaljmp,68906,3.9521,3.8025,0.1496
movcalmovmovmovcaltesjz_,4195,0.3172,0.1676,0.1496
leacalmovcmpjz_,9749,0.6289,0.4799,0.149
incmovmovcmpsetret,2554,0.2247,0.0758,0.1489
calmovaddret,5318,0.3799,0.2311,0.1488
pusmovsubmovmovmovmovcmpjz_,1949,0.1906,0.0419,0.1487
movxormovmovjmp,10476,0.6696,0.5209,0.1487
popaddret,3296,0.2662,0.1176,0.1486
movlealeamovinctesjnz,2270,0.2084,0.0601,0.1483
xormovmovmovpopret,1871,0.1859,0.0378,0.1481
movsubjs_,2237,0.2063,0.0585,0.1478
puspusmovmovcmpjge,2798,0.2378,0.09,0.1478
movpuspuscalret,6752,0.4597,0.3122,0.1475
movmovcalmovpopret,6669,0.455,0.3076,0.1474
movmovaddpoppoppopret,14851,0.9146,0.7672,0.1474
movmovmovmovmovmovcaltesjnz,3943,0.3018,0.1546,0.1472
movnopcmpjz_,2995,0.2485,0.1013,0.1472
puspuspuspuspuscaladdtesjnz,2168,0.2019,0.055,0.1469
movpussubleamovmovmovaddcaltes...,2222,0.2049,0.0581,0.1468
movpuscaladdtesjz_,19921,1.199,1.0523,0.1467
pusmovsubmovtesjz_,2997,0.2483,0.1017,0.1466
subpuspuspuscaladdtesjnz,1964,0.1903,0.0437,0.1466
movcalnopaddret,1957,0.1898,0.0434,0.1464
pusmovmovmovcalmovmovcalpopret,5850,0.4084,0.2621,0.1463
movcalmovcalpopret,2520,0.2213,0.0751,0.1462
calandmovtesjz_,7475,0.4993,0.3537,0.1456
fstfstjmp,2298,0.2085,0.0629,0.1456
movmovleacaltesjz_,8536,0.5588,0.4133,0.1455
addcmpjge,8240,0.542,0.3969,0.1451
puspuspusmovmovmovmovmovmovcal...,8766,0.5714,0.4265,0.1449
addsubjmp,3057,0.2506,0.106,0.1446
cmpmovcmotesjz_,1896,0.1854,0.0408,0.1446
movleacalmovcmpjz_,2176,0.2011,0.0565,0.1446
movmovcaladdpoppoppopret,4958,0.3573,0.2129,0.1444
pussubmovmovxorcmpsetmovaddpop...,2175,0.2008,0.0566,0.1442
pussubmovmovmovmovmovcalmovadd...,2469,0.2173,0.0732,0.1441
pussubmovcalnopaddpopret,2918,0.2425,0.0984,0.1441
submovmovtesjle,2792,0.2353,0.0914,0.1439
movcalxorpoppoppopmovpusleamov...,4691,0.3419,0.1981,0.1438
leanegsbbandjmp,2764,0.2336,0.09,0.1436
movmovpoppoppoppopaddret,4033,0.3047,0.1614,0.1433
calmovcaltesjnz,6906,0.466,0.3228,0.1432
movpusmovcaltesjz_,9767,0.6267,0.4836,0.1431
pussubmovmovmovcalnopaddpopret,1975,0.189,0.0459,0.1431
pusmovaddpuspustesjz_,2655,0.2271,0.0841,0.143
movleacalnopjmp,2432,0.2144,0.0718,0.1426
caltesjle,15024,0.9217,0.7791,0.1426
movmovcalmovcaltesjnz,4640,0.3384,0.1959,0.1425
movmovcalcmpjge,4830,0.349,0.2066,0.1424
movmovmovcalcaltesjz_,3181,0.2562,0.1141,0.1421
leacalmovmovtesjnz,2375,0.2109,0.0688,0.1421
movmovpopmovpopret,9718,0.6232,0.4814,0.1418
movaddmovtesjnz,4862,0.3503,0.2087,0.1416
movcalmovmovmovaddpoppoppopret,2251,0.2037,0.0621,0.1416
leamovmovtesjnz,2268,0.2045,0.0631,0.1414
tessetjmp,3088,0.2504,0.1094,0.141
movor_tescmojmp,1833,0.1798,0.0389,0.1409
movmovandmovjmp,2862,0.2375,0.0968,0.1407
pusmovcalmovmovcmpjz_,2711,0.229,0.0884,0.1406
pusmovmovtesjz_,90692,5.1709,5.0303,0.1406
calpoppoppopmovpopret,2666,0.2263,0.086,0.1403
movxchcalret,7790,0.5141,0.3738,0.1403
leamovmovleacaltesjz_,1926,0.1846,0.0445,0.1401
pusmovaddpusmovmovmovmovcmpjz_,2710,0.2286,0.0886,0.14
movmovmovmovcalmovmovmovmovadd...,2887,0.2385,0.0985,0.14
movaddcaltesjz_,2478,0.2149,0.0761,0.1388
movcmpmovjbe,2628,0.2233,0.0845,0.1388
movpuscalpopmovtesjz_,4778,0.3439,0.2054,0.1385
movxorpoppoppopmovpusleamovcal...,4579,0.3327,0.1943,0.1384
cmpmovjbe,11046,0.6957,0.5577,0.138
xormovpopret,26309,1.553,1.4151,0.1379
movdeccmpjnz,5923,0.4079,0.27,0.1379
movmovmovcalpoppoppoppopret,4768,0.3429,0.2052,0.1377
movpussubcmpmovmovjz_,2794,0.232,0.0944,0.1376
movcalmovmovtesjnz,8585,0.5572,0.4197,0.1375
movmovcaltesjl_,3786,0.2876,0.1502,0.1374
cmpmovmovjle,1848,0.1784,0.0416,0.1368
pusmovaddmovmovpusmovmovmovlea...,2476,0.2135,0.077,0.1365
movmovmovmovcalmovmovmovaddpop...,4808,0.3445,0.208,0.1365
submovmovmovtesjnz,1988,0.186,0.0497,0.1363
puspuspuspuspuscaladdxorret,3180,0.253,0.1167,0.1363
movpusmovpusmovmovcaltesjz_,3220,0.2552,0.1189,0.1363
movcalmovmovmovcaltesjnz,3475,0.2695,0.1333,0.1362
leamovmovcaltesjs_,2384,0.2081,0.0721,0.136
movxormovmovmovret,3436,0.2672,0.1312,0.136
xormovcalmovjmp,6856,0.4591,0.3234,0.1357
movpuscalpoptesjz_,19191,1.152,1.0163,0.1357
movmovcaladdjmp,3853,0.2904,0.1548,0.1356
movcmpcmojmp,2001,0.1861,0.051,0.1351
movmovmovmovmovmovcalmovjmp,4346,0.3176,0.1829,0.1347
movcalmovmovmovmovmovaddpopret,2926,0.2378,0.1032,0.1346
xortesjbe,3763,0.2846,0.1503,0.1343
addandjmp,3756,0.2842,0.1499,0.1343
movxorxorjmp,1920,0.181,0.0469,0.1341
movmovmovmovmovmovmovmovcmpjnz,8136,0.53,0.3961,0.1339
pusmovmovcalcmpjnz,5593,0.3872,0.2533,0.1339
calmovmovaddjmp,5528,0.3833,0.2498,0.1335
puspuspuspuspuscaladdpoppoppop...,2855,0.2331,0.0998,0.1333
andor_tesjz_,2398,0.2072,0.0742,0.133
poppopxorpopret,17042,1.0298,0.8968,0.133
movcdqjmp,4949,0.3505,0.2176,0.1329
calxorjmp,9877,0.6272,0.4945,0.1327
movmovdecmovjnz,2049,0.1875,0.0548,0.1327
poppoppopxorpopret,15096,0.9203,0.7877,0.1326
puspuspusmovcmpjz_,4357,0.317,0.1845,0.1325
movmovmovcalmovmovpopret,1996,0.1844,0.0519,0.1325
movshrandret,3669,0.2782,0.146,0.1322
movleacmpjge,2617,0.219,0.087,0.132
pusmovpusmovmovcalpopret,2151,0.1928,0.0609,0.1319
pusmovmovmovxorcalmovmovcalpop...,2459,0.2101,0.0782,0.1319
movcalmovmovaddpoppoppoppoppop...,1866,0.1767,0.0449,0.1318
puspuspusmovmovmovmovcaltesjz_,7716,0.5052,0.3736,0.1316
xormovmovcaltesjz_,4729,0.3372,0.206,0.1312
movmovcalmovmovcalincdecjnz,4475,0.3229,0.1917,0.1312
submovcmpjl_,2871,0.2328,0.1016,0.1312
leacalmovcmpjnz,9532,0.6068,0.476,0.1308
movmovmovleamovcaltesjz_,2318,0.2014,0.0708,0.1306
leamovmovmovcmpjbe,2193,0.1944,0.0638,0.1306
pusmovpuspuspusmovmovxorpuspus...,4298,0.3127,0.1821,0.1306
movmovmovmovmovmovmovmovtesjz_,6013,0.4089,0.2784,0.1305
puspuscmpjz_,5151,0.3605,0.23,0.1305
subaddjmp,5178,0.3617,0.2318,0.1299
puspuscaladdmovtesjz_,15541,0.9433,0.8143,0.129
leapusmovcaljmp,3276,0.2543,0.1254,0.1289
movmovpuspuspuscaladdret,3179,0.2489,0.12,0.1289
movmovmovandtesjnz,2550,0.2134,0.0847,0.1287
movmovcalmovcaltesjz_,22117,1.3124,1.1839,0.1285
submovcalpoppopret,2180,0.1924,0.0642,0.1282
leamovcmpjge,2678,0.2203,0.0922,0.1281
movcalmovmovcalcmpjz_,5178,0.3604,0.2329,0.1275
puspuspusmovcalpuscalpoppopret,2090,0.1869,0.0595,0.1274
tessetret,4466,0.3202,0.1931,0.1271
movcalmovret,8967,0.573,0.4459,0.1271
leamovinccmpjnz,2445,0.2066,0.0796,0.127
lealeamovcaltesjz_,7276,0.4778,0.3511,0.1267
xorpoppoppoppoppoppopret,3761,0.2803,0.1537,0.1266
poppopxorpopaddret,7087,0.467,0.3406,0.1264
movleamovmovcaltesjz_,11324,0.7049,0.5787,0.1262
movpuspuspuscaladdret,1970,0.1794,0.0533,0.1261
movincmovmovtesjz_,2373,0.2019,0.0761,0.1258
ldaldcbge,1815,0.1705,0.0448,0.1257
movmovmovcalmovmovcalmovtesjz_,2053,0.1838,0.0583,0.1255
tesleajnz,2799,0.2254,0.1004,0.125
movmovmovcalcaltesjnz,2461,0.2064,0.0815,0.1249
movmovpuscalmovjmp,2555,0.2116,0.0868,0.1248
subcaltesjz_,5886,0.3985,0.274,0.1245
movmovshrtesjz_,9761,0.616,0.4918,0.1242
leamovmovaddjmp,4645,0.3286,0.2045,0.1241
movmovcalmovmovcalcmpjnz,2006,0.1803,0.0563,0.124
movcomjbe,8982,0.572,0.4483,0.1237
movmovcalmovdectesjl_,5716,0.3884,0.265,0.1234
puspuspuspuscaladdmovtesjz_,2654,0.2163,0.0931,0.1232
movmovcaldectesjl_,2331,0.1981,0.075,0.1231
leamovcalmovcmpjb_,1900,0.1739,0.0508,0.1231
movnegcmpjz_,3225,0.2483,0.1252,0.1231
subleacalleaaddjmp,2537,0.2096,0.0866,0.123
movleapoppoppoppopret,1982,0.1784,0.0554,0.123
movmovleamovmovmovjmp,2235,0.1925,0.0697,0.1228
calmovmovcmpjbe,1879,0.1725,0.0497,0.1228
movcalmovpoppoppoppopret,6628,0.4392,0.3165,0.1227
movcalsubjmp,2590,0.2123,0.0898,0.1225
puspusmovmovmovcalcmpjz_,8363,0.5365,0.4142,0.1223
leamovcalmovcmpjnz,5912,0.3985,0.2767,0.1218
pusmovcalmovmovpopret,4484,0.3183,0.1965,0.1218
puspusmovmovmovmovmovcalmovtes...,2084,0.1834,0.0618,0.1216
movcalmovmovmovmovmovaddpoppop...,2191,0.1894,0.0678,0.1216
movmovpuspuscalret,2504,0.207,0.0854,0.1216
movxorleajmp,2057,0.1818,0.0603,0.1215
movmovcalmovmovmovmovtesjz_,2267,0.1936,0.0721,0.1215
movmovmovcalmovpopret,6797,0.448,0.3266,0.1214
movpuspuspuspuscalcmpjnz,2442,0.2034,0.082,0.1214
leamovcmpjbe,3706,0.2743,0.153,0.1213
movshljmp,2383,0.2,0.0788,0.1212
ldsldacalret,2235,0.1915,0.0705,0.121
movmovmovmovmovcalcmpjz_,4368,0.3113,0.1904,0.1209
puspuspusmovmovcmpjnz,3512,0.2631,0.1424,0.1207
puspusmovmovpuspuspusmovcalpus...,2306,0.1951,0.0749,0.1202
movmovmovcalmovmovmovcaltesjz_,3567,0.2659,0.1457,0.1202
pusmovaddpuspuspusmovmovmovcmp...,5477,0.3732,0.253,0.1202
movmovmovmovmovmovmovmovaddpop...,1939,0.1744,0.0544,0.12
puspuspuspuscaladdret,10804,0.6723,0.5524,0.1199
tespusmovmovjz_,4002,0.29,0.1704,0.1196
andmovret,9542,0.6011,0.4817,0.1194
movcalmovaddret,2945,0.2305,0.1112,0.1193
andcmpjbe,2961,0.2312,0.1122,0.119
movcalmovmovaddret,2073,0.1813,0.0624,0.1189
movmovcaltesjle,10470,0.6529,0.5341,0.1188
popmovpopaddret,4645,0.3256,0.207,0.1186
movxormovaddpopret,4962,0.3434,0.2248,0.1186
movmovmovmovmovmovmovmovmovret,2267,0.1919,0.0735,0.1184
movmovleamovmovjmp,3413,0.2562,0.138,0.1182
movmovleamovcmpjz_,2685,0.2153,0.0971,0.1182
movcalcmpmovjnz,1803,0.1657,0.0476,0.1181
calmovmovmovcaltesjz_,2970,0.2311,0.1133,0.1178
intjmp,2997,0.2323,0.115,0.1173
puspuspusmovmovmovcmpjnz,5347,0.3642,0.2471,0.1171
xormovcalpoppopret,2034,0.1781,0.0611,0.117
subcmpjle,5747,0.3866,0.2697,0.1169
movmovmovcalmovmovcmpjnz,2945,0.2291,0.1123,0.1168
movmovpuscaltesjz_,8475,0.5397,0.423,0.1167
pusmovaddpuspuspusmovmovmovtes...,4696,0.3274,0.2108,0.1166
puspusleapuscaladdtesjz_,2450,0.2011,0.0847,0.1164
pusmovpuspuspusmovmovmovcmpjnz,3628,0.2673,0.1509,0.1164
puspuspusmovmovmovtesjz_,19210,1.1425,1.0262,0.1163
puspusmovmovmovmovcalcmpjz_,1814,0.1651,0.0492,0.1159
or_xaddectesjg_,1805,0.1646,0.0487,0.1159
puscalpopmovmovjmp,6924,0.4521,0.3363,0.1158
movmovmovaddtesjz_,3528,0.2612,0.1456,0.1156
movcmpsetret,8422,0.536,0.4207,0.1153
movpuspuspuspuscaladdtesjz_,3027,0.2329,0.1176,0.1153
movxortesjbe,3758,0.2739,0.1588,0.1151
movmovmovmovleapusmovmovmovpus...,11198,0.6917,0.5768,0.1149
movpussubmovtesjnz,2283,0.1909,0.076,0.1149
pusmovpuspuspusmovmovcmpjz_,3807,0.2764,0.1617,0.1147
movmovmovandjz_,3413,0.2542,0.1396,0.1146
movaddsubjb_,3925,0.2829,0.1685,0.1144
movmovaddmovcmpjz_,2850,0.2224,0.1081,0.1143
pusmovpuscalret,1978,0.1734,0.0592,0.1142
movshrcmpjz_,1892,0.1686,0.0544,0.1142
movmovmovxorjmp,6274,0.4147,0.3005,0.1142
movmovleacalmovtesjz_,3307,0.2479,0.134,0.1139
submovcmpjle,2739,0.2159,0.1022,0.1137
movmovxorret,11766,0.7228,0.6093,0.1135
movor_jmp,39521,2.2816,2.1685,0.1131
submovmovcmpjl_,1832,0.1645,0.0516,0.1129
xormovmovpoppoppopret,2099,0.1794,0.0666,0.1128
calcmpjle,8634,0.5465,0.4337,0.1128
puscalpoppuscalpopmovmovjmp,1834,0.1645,0.0518,0.1127
movandmovcmpjz_,4719,0.3265,0.2139,0.1126
leamovmovmovcalcmpjnz,3129,0.2371,0.1246,0.1125
puspuspusmovmovmovdectesjl_,2484,0.2009,0.0884,0.1125
subtesjle,2369,0.1944,0.082,0.1124
movmovshrsubcmpja_,4107,0.292,0.1796,0.1124
xorcmpmovjz_,4432,0.3102,0.1979,0.1123
xorpoppoppopmovpusleacalleamov...,2878,0.2229,0.1106,0.1123
movpussubmovtesjz_,3022,0.2308,0.1188,0.112
comjbe,10696,0.6619,0.5499,0.112
leamovmovmovmovtesjz_,2117,0.1799,0.0681,0.1118
movcdqcmpjnz,2346,0.1927,0.081,0.1117
puscaladdpoppopret,3410,0.2525,0.1408,0.1117
puscalpopmovmovcmpjz_,4753,0.3279,0.2162,0.1117
movmovcalmovmovmovcmpjz_,3409,0.2522,0.1409,0.1113
movlealeamovmovcalmovtesjs_,2082,0.1776,0.0664,0.1112
movpusmovcalcmpjnz,2268,0.188,0.0769,0.1111
